Character,Decimal,Hexadecimal
 ,32,20
!,33,21
"""",34,22
#,35,23
$,36,24
%,37,25
&,38,26
',39,27
(,40,28
),41,29
*,42,2A
+,43,2B
",",44,2C
-,45,2D
.,46,2E
/,47,2F
0,48,30
1,49,31
2,50,32
3,51,33
4,52,34
5,53,35
6,54,36
7,55,37
8,56,38
9,57,39
:,58,3A
;,59,3B
<,60,3C
=,61,3D
>,62,3E
?,63,3F
@,64,40
A,65,41
B,66,42
C,67,43
D,68,44
E,69,45
F,70,46
G,71,47
H,72,48
I,73,49
J,74,4A
K,75,4B
L,76,4C
M,77,4D
N,78,4E
O,79,4F
P,80,50
Q,81,51
R,82,52
S,83,53
T,84,54
U,85,55
V,86,56
W,87,57
X,88,58
Y,89,59
Z,90,5A
[,91,5B
\,92,5C
],93,5D
^,94,5E
_,95,5F
`,96,60
a,97,61
b,98,62
c,99,63
d,100,64
e,101,65
f,102,66
g,103,67
h,104,68
i,105,69
j,106,6A
k,107,6B
l,108,6C
m,109,6D
n,110,6E
o,111,6F
p,112,70
q,113,71
r,114,72
s,115,73
t,116,74
u,117,75
v,118,76
w,119,77
x,120,78
y,121,79
z,122,7A
{,123,7B
|,124,7C
},125,7D
~,126,7E
